tokenchunk1,tokenchunk2,label
said,O,BEFORE
refused to identify,O,BEFORE
said,O,BEFORE
said,O,BEFORE
said,O,BEFORE
went,Friday,INCLUDES
exploded,Friday,IS_INCLUDED
said,O,BEFORE
has claimed,O,ENDED_BY
said,O,BEFORE
blew,O,BEFORE
The blast,Friday,IS_INCLUDED
has claimed,Saturday,IS_INCLUDED
appears to have been,Saturday,IS_INCLUDED
The suspected car bombings,Friday,IS_INCLUDED
said,Saturday,IS_INCLUDED
was expected to rise,Saturday,IS_INCLUDED
missing,Saturday,IS_INCLUDED
broke,Saturday,IS_INCLUDED
said,Saturday,IS_INCLUDED
more than 1COMMA700 injured,Friday,IS_INCLUDED
were killed,Friday,IS_INCLUDED
rescuers cleared,Saturday,IS_INCLUDED
Terrorist bombings,Friday,IS_INCLUDED
shook,O,BEFORE
plagues,Saturday,BEFORE
swaying,Saturday,BEFORE
said,Saturday,IS_INCLUDED
may have prevented,Saturday,BEFORE
shook,Saturday,IS_INCLUDED
discharged :,Monday,BEFORE
542 Treated,Monday,BEFORE
12 Injured,Monday,BEFORE
the bombings,Monday,BEFORE
said,Tuesday,IS_INCLUDED
extend,Tuesday,IS_INCLUDED
offered,Tuesday,IS_INCLUDED
the bombings,Tuesday,BEFORE
condemned,Tuesday,IS_INCLUDED
said,O,BEFORE
adopted,O,BEFORE
called,O,BEFORE
condemned,O,BEFORE
said,Thursday,IS_INCLUDED
The incidents,Aug. 7,IS_INCLUDED
attacks,Aug. 7,IS_INCLUDED
A resolution,Thursday,BEFORE
the bombing,Aug. 7,IS_INCLUDED
condemned,Thursday,IS_INCLUDED
been urged to leave,O,BEFORE
denied,O,BEFORE
said,O,BEFORE
a joint news conference,O,BEFORE
said,O,BEFORE
helped hang,O,BEFORE
were allowed,O,BEFORE
handed,O,BEFORE
laid,O,BEFORE
was scheduled to lay,O,BEFORE
Washington overheated,O,BEFORE
spent,O,BEFORE
arriving,O,BEFORE
hoped,O,BEFORE
arrived,O,BEFORE
been urged to leave,today,IS_INCLUDED
were flown,today,IS_INCLUDED
_ left,today,IS_INCLUDED
said,last week,IS_INCLUDED
more arrests,Tuesday,BEFORE
denied,Tuesday,IS_INCLUDED
reported,now,BEFORE
would not elaborate,now,IS_INCLUDED
said,now,IS_INCLUDED
